ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
32,7,7,7,7,7,6,7,7,7,6,6,6,7,7,6,5,7,5,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
33,5,4,3,4,2,3,6,7,4,6,4,6,6,4,3,3,1,3,6,6,6,6,2,7,3,7,3,4,6,6,4,4,2,6,5,6,6,7,6,6,6,7,2,7,7,6,5,5
34,5,7,6,6,6,5,5,6,5,7,7,5,7,6,3,4,6,2,6,7,6,6,2,7,5,7,7,7,6,7,5,6,3,7,7,7,5,7,7,7,7,7,2,7,7,7,7,6
35,7,6,6,6,6,6,6,6,6,6,5,5,7,6,6,4,4,3,7,6,6,6,6,4,5,7,6,6,4,6,6,4,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,5
36,7,6,7,7,6,7,7,7,7,7,6,7,7,7,7,6,7,7,7,6,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,5,6
37,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6
38,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,3,7,7,6,7,5,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,6,7,7,7,7,7
39,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7
40,3,7,7,7,6,5,6,7,7,7,6,7,7,7,6,5,7,2,7,7,7,7,7,7,2,7,7,4,5,7,6,6,7,7,7,7,3,7,6,5,7,7,5,7,7,7,7,5
41,6,7,7,5,6,5,7,5,6,7,5,7,7,6,7,6,6,5,7,6,6,6,5,6,5,6,6,6,5,6,5,5,6,5,7,5,6,4,6,6,7,6,5,7,7,6,6,5
42,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7
43,7,7,7,7,7,7,7,7,7,7,4,3,6,7,6,5,7,5,7,7,6,4,6,7,7,7,7,6,7,7,5,4,7,7,7,7,6,5,7,5,4,7,5,7,6,6,6,7
44,6,7,7,7,6,6,7,7,7,7,6,7,7,6,5,4,4,5,7,7,7,5,5,7,5,7,5,7,6,6,5,5,3,5,7,7,6,7,4,6,7,7,7,7,7,6,7,6
45,1,4,1,1,4,1,1,1,4,5,7,1,4,4,1,4,1,4,4,4,1,1,1,1,7,7,2,7,7,4,1,1,1,1,7,7,2,7,4,4,4,7,1,7,7,7,4,1
46,6,7,7,6,7,6,7,6,7,7,6,7,7,6,6,5,7,6,7,7,7,7,6,7,6,7,7,6,7,7,7,6,6,7,7,7,7,6,7,4,7,7,7,7,6,6,6,6
47,6,7,6,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,5,7,7,7,7,7
48,7,7,7,7,6,5,7,7,7,7,6,5,7,6,6,5,7,3,7,7,7,7,4,7,6,7,7,6,5,7,6,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7
49,6,7,5,6,4,3,7,6,6,5,5,5,6,4,3,4,3,4,5,6,5,4,4,6,6,6,5,7,5,6,5,6,4,6,6,5,7,7,6,4,7,6,3,7,7,6,3,6
50,3,7,1,7,2,6,7,7,6,7,7,7,7,6,1,6,5,1,7,7,7,7,1,7,3,7,7,7,7,7,7,7,1,7,6,7,7,7,7,3,7,7,6,7,7,7,5,6
51,2,7,3,7,7,7,7,7,5,5,5,7,7,6,3,6,5,5,7,7,7,7,7,7,3,7,6,7,5,7,4,7,3,7,7,7,6,7,5,7,6,7,5,7,7,7,6,7
52,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,6,7,3,7,7,5,7,7,7,7,7
53,5,6,6,6,7,3,6,5,7,6,5,6,6,6,4,6,6,4,6,6,7,6,4,7,3,6,6,4,6,7,5,6,5,7,7,6,7,5,6,5,7,7,5,7,6,5,6,3
54,5,6,6,4,5,5,5,5,5,5,6,5,6,4,5,4,5,6,6,6,4,5,5,6,5,6,6,5,6,5,6,5,5,6,6,5,6,5,6,5,6,5,6,5,6,6,5,5
