ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
39,7,6,6,5,4,7,5,4,3,4,4,4,5,3,2,3,5,5,6,6,7,5,6,3,7,6,4,7,6,7,6,5,7,6,7,7,5,6,6,7
40,6,5,6,6,6,4,3,5,3,4,4,3,5,2,2,5,5,6,6,6,6,5,5,2,6,5,5,5,3,6,6,6,6,5,6,6,6,6,6,6
41,7,7,7,7,7,7,7,7,6,7,6,6,6,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7
42,7,6,7,7,7,7,7,7,5,6,7,6,7,2,1,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
43,5,3,2,3,7,5,1,2,1,1,1,2,1,2,2,1,2,2,6,2,3,6,5,4,2,7,7,1,3,7,7,6,6,5,6,7,5,6,7,4
44,6,6,7,6,2,1,3,6,1,1,1,3,1,1,1,3,7,6,6,7,5,7,6,5,7,4,7,7,7,7,7,7,7,7,7,7,2,7,7,7
45,4,4,7,7,7,7,5,3,1,2,1,3,1,1,1,3,2,7,6,5,7,3,6,2,7,7,7,2,7,7,7,7,7,7,7,7,1,7,7,5
46,5,3,5,6,6,3,2,2,2,3,2,2,2,2,2,2,2,6,4,2,4,3,3,3,6,6,6,6,6,7,6,6,5,6,6,6,3,5,6,7
47,6,6,5,5,5,6,5,5,1,3,5,3,3,2,5,5,2,6,6,6,7,5,5,2,5,4,4,3,7,6,6,6,6,4,7,6,4,3,6,5
48,2,2,4,2,5,5,4,4,1,1,1,1,1,1,1,2,3,5,6,2,2,4,3,1,5,4,6,4,6,6,3,3,4,3,6,5,5,1,6,4
49,7,6,7,6,6,6,5,5,1,4,2,2,2,1,2,4,7,6,4,7,7,5,6,3,7,6,7,7,7,7,6,6,5,7,7,7,6,7,7,4
50,7,6,7,2,5,2,7,7,1,1,1,2,4,1,2,7,7,7,4,7,7,7,7,7,7,5,4,1,6,6,7,5,7,6,2,7,7,7,7,6
51,7,6,7,6,6,7,6,6,4,6,5,6,7,4,4,4,7,7,7,7,7,7,7,5,7,5,7,6,7,7,7,7,7,6,7,7,7,7,7,7
52,6,6,5,5,4,2,5,4,3,4,3,3,3,3,3,4,4,6,6,5,6,6,5,4,6,5,4,4,5,6,5,5,6,5,6,6,6,6,5,6
53,6,6,5,5,6,5,5,5,3,5,1,5,2,1,4,4,5,6,6,6,6,6,5,5,5,6,5,5,4,6,6,5,6,5,6,6,6,6,6,6
54,6,2,6,6,6,5,4,2,2,6,3,3,2,1,2,2,3,7,4,6,5,5,6,4,7,6,5,6,6,7,6,6,7,6,6,6,5,5,6,6
55,7,4,4,2,6,7,5,5,1,2,2,5,2,2,2,5,5,5,3,6,5,6,6,7,7,7,6,6,7,7,6,7,7,6,7,7,7,6,6,7
56,7,5,6,4,5,3,5,5,2,5,4,3,2,5,2,4,2,6,5,5,6,5,6,2,6,6,3,6,4,6,5,5,7,5,7,7,6,3,7,4
57,7,6,7,7,6,7,5,5,5,5,7,6,5,4,5,5,6,7,7,7,7,7,6,5,7,7,7,6,5,6,6,5,7,6,7,7,7,6,6,6
58,4,4,5,4,7,4,4,1,1,1,1,1,1,1,2,1,3,5,4,7,6,7,5,4,7,7,7,7,6,7,6,6,7,7,7,6,7,7,6,7
59,6,6,6,6,5,6,5,4,3,5,5,5,5,4,4,5,5,7,7,6,7,5,6,5,7,6,6,6,6,6,5,6,7,7,7,7,7,7,5,7
60,3,3,2,2,5,6,5,3,5,3,3,2,3,1,5,5,5,5,3,3,3,5,3,2,5,3,5,6,5,5,5,3,5,3,3,5,5,5,5,3
61,5,5,6,6,6,6,6,6,2,3,2,5,6,2,2,6,6,5,6,6,6,5,7,6,7,6,6,5,6,7,6,6,7,6,7,6,6,6,6,7
62,6,6,7,7,7,7,6,7,5,6,5,5,6,4,4,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
63,3,3,3,3,3,4,3,3,3,3,2,3,2,3,2,3,4,3,3,4,3,3,3,3,6,5,5,7,6,7,7,4,6,6,6,7,4,6,4,4
64,6,6,6,6,6,6,6,6,5,5,5,5,6,5,5,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
65,5,6,7,7,5,6,5,6,3,5,6,5,6,5,2,7,6,7,6,5,6,6,7,6,7,7,5,5,6,6,7,6,7,6,6,7,7,6,7,6
66,6,4,5,3,5,6,6,5,2,2,3,2,2,2,3,2,1,7,6,6,5,5,5,2,4,4,5,5,4,5,7,5,6,5,7,7,4,3,5,6
67,6,5,6,6,6,5,6,6,5,5,5,5,5,5,5,5,5,6,7,6,7,6,6,5,7,6,7,6,6,6,7,6,7,7,7,7,7,7,6,5
68,7,7,7,7,6,6,5,5,2,3,1,2,1,1,1,7,4,7,7,4,7,7,7,5,6,3,5,3,5,4,4,4,6,7,7,5,3,5,4,7
69,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
70,5,3,6,7,5,3,5,5,3,6,5,5,5,2,6,5,3,6,3,6,4,3,6,6,5,4,6,4,5,3,6,6,7,6,4,6,6,5,4,5
71,7,5,6,7,5,5,5,3,3,5,5,5,5,2,2,5,5,6,6,6,7,6,6,5,6,6,5,5,5,7,7,5,6,5,5,7,7,6,6,6
72,7,7,7,2,7,6,7,6,1,1,1,1,1,1,1,1,7,7,7,4,7,7,7,4,6,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7
73,3,3,2,2,3,2,1,2,1,1,1,1,1,1,1,2,1,2,4,2,2,4,3,2,6,2,1,3,6,5,6,5,7,7,3,7,6,7,6,7
74,2,2,4,4,7,4,1,1,1,1,1,1,1,1,1,1,4,5,2,6,3,7,4,3,7,7,5,7,7,7,7,7,7,7,7,5,7,7,6,7
75,7,6,5,3,5,5,6,6,1,3,7,2,5,5,2,6,1,7,6,6,6,5,4,2,5,3,3,5,5,5,7,6,6,5,6,4,3,3,5,4
76,6,6,7,7,7,6,4,5,5,5,6,5,7,3,3,6,5,7,6,4,5,6,5,5,7,6,6,5,7,7,7,7,7,7,7,7,6,7,7,7
77,6,7,7,7,6,7,6,7,1,2,3,2,3,3,2,4,6,6,7,7,7,6,7,2,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6
78,4,5,5,5,6,4,3,4,5,5,5,4,3,3,3,4,5,4,5,4,7,4,4,4,3,4,5,3,5,5,6,4,3,4,5,5,5,3,5,5
79,3,4,4,5,5,5,5,5,1,3,1,2,2,1,2,3,3,5,7,6,7,5,7,3,7,4,4,7,5,7,7,7,6,5,7,2,4,7,7,7
80,5,5,6,6,6,6,6,6,3,5,3,3,4,3,2,3,5,6,6,6,6,6,5,5,6,6,7,5,6,5,6,6,6,5,6,6,6,6,6,6
81,3,3,5,4,5,5,3,4,1,2,2,2,2,1,1,6,5,5,5,6,5,5,4,4,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6
82,6,6,7,7,7,7,5,5,2,3,4,2,5,3,1,2,6,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
83,6,3,5,2,5,6,5,5,2,2,3,2,2,2,6,3,6,5,4,6,4,5,3,6,5,7,7,4,5,6,6,5,6,7,5,5,6,4,6,5
84,6,4,5,6,6,5,5,5,1,4,2,4,3,1,1,6,5,6,6,6,6,5,7,4,7,6,6,5,6,6,7,6,7,7,7,7,7,7,7,7
85,7,7,6,7,6,7,5,6,3,5,3,5,2,2,2,5,3,7,7,7,7,6,6,2,7,7,6,6,6,7,5,5,7,7,4,7,7,7,7,5
86,3,2,3,4,3,4,3,3,2,3,3,3,3,1,1,3,4,2,3,3,3,4,4,3,7,7,6,7,7,7,7,5,5,7,7,7,4,6,4,6
87,5,4,3,6,5,3,3,6,1,1,1,2,1,1,1,6,4,7,6,6,3,6,5,3,6,5,3,6,7,7,6,4,7,6,6,7,5,5,5,7
88,3,1,5,4,6,4,1,1,1,1,1,1,1,1,1,1,3,5,4,7,5,7,1,2,7,7,6,7,6,7,7,7,7,5,7,3,7,7,6,7
89,6,5,6,6,6,6,6,6,4,6,5,5,6,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
90,6,5,6,7,6,6,4,5,1,3,2,3,2,1,1,3,4,6,5,5,6,6,6,5,6,6,7,7,6,7,7,7,6,6,6,7,6,7,7,7
91,4,3,5,3,4,4,5,4,4,4,4,3,4,4,4,5,4,4,4,5,5,3,4,4,4,3,4,4,5,3,4,4,5,5,4,3,4,4,3,4
92,6,3,6,7,4,6,6,6,1,3,1,3,1,1,1,4,6,5,5,5,7,6,5,5,7,7,5,5,6,6,7,6,6,7,6,6,7,7,6,7
93,7,7,6,6,6,3,6,7,1,6,1,2,1,1,2,7,3,6,7,5,5,5,5,7,7,6,7,7,7,7,6,7,7,7,7,7,5,7,5,7
94,1,1,1,1,7,3,1,1,1,1,1,1,1,1,1,1,3,3,2,7,5,7,3,2,7,7,5,7,6,7,7,7,7,7,3,3,7,7,5,7
95,7,7,7,7,7,7,7,7,3,7,7,5,7,6,1,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
96,7,7,7,7,7,7,5,7,2,7,2,3,2,2,1,5,7,5,7,6,4,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
97,3,2,4,5,5,6,1,2,1,1,1,1,1,1,1,4,3,7,7,2,6,5,2,2,7,5,4,4,7,7,7,7,7,7,6,7,6,7,7,7
98,2,1,3,1,7,3,1,1,1,1,1,1,1,1,1,1,2,3,1,6,4,7,1,3,7,7,5,5,7,7,7,7,7,7,7,2,7,7,5,7
99,7,6,7,7,5,7,7,3,1,5,2,2,2,2,1,3,2,7,7,7,7,5,5,3,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7
100,2,3,3,2,2,3,6,4,1,1,1,1,1,1,1,2,5,4,4,2,5,3,4,6,3,7,5,6,7,3,7,5,6,6,7,5,4,7,7,6
101,7,7,7,7,7,7,7,7,1,6,2,3,2,2,1,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
102,7,6,6,6,5,5,7,6,5,7,4,5,6,4,5,6,7,7,6,5,6,5,4,6,6,4,5,6,6,6,7,5,5,6,7,6,4,5,6,7
103,5,3,3,3,2,2,4,1,1,1,4,1,2,1,1,4,3,1,4,4,3,2,3,2,7,3,5,5,5,6,5,7,5,5,6,7,4,7,6,6
104,6,5,6,6,5,5,3,6,1,3,2,5,3,1,2,5,5,6,6,6,6,4,6,4,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6
105,7,3,6,6,5,5,1,5,1,1,1,1,3,1,1,2,1,3,5,1,5,5,3,2,5,5,5,5,5,6,5,6,6,4,7,5,3,5,5,6
106,7,7,7,5,7,7,2,3,2,3,4,2,5,1,3,6,7,7,7,7,6,7,7,2,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
107,6,5,6,5,5,5,5,5,2,2,4,3,5,2,2,2,6,5,5,5,5,5,5,6,6,5,6,4,6,7,6,4,5,6,7,6,5,7,6,6
108,5,5,7,6,6,6,1,5,1,4,2,2,2,2,2,2,6,5,7,6,7,6,6,6,7,6,7,2,7,6,7,7,7,5,7,6,6,7,7,7
